Date,AMZN,S&P 500,US Treasury Yield 10 Years
2021-03-22,3110.87,3940.59,1.684
2021-03-23,3137.5,3910.52,1.638
2021-03-24,3087.07,3889.14,1.614
2021-03-25,3046.26,3909.52,1.614
2021-03-26,3052.03,3974.54,1.66
2021-03-29,3075.73,3971.09,1.721
2021-03-30,3055.29,3958.55,1.726
2021-03-31,3094.08,3972.89,1.746
2021-04-01,3161.0,4019.87,1.679
2021-04-05,3226.73,4077.91,1.72
2021-04-06,3223.82,4073.94,1.656
2021-04-07,3279.39,4079.95,1.653
2021-04-08,3299.3,4097.17,1.632
2021-04-09,3372.2,4128.8,1.666
2021-04-12,3379.39,4127.99,1.675
2021-04-13,3400.0,4141.59,1.623
2021-04-14,3333.0,4124.66,1.638
2021-04-15,3379.09,4170.42,1.53
2021-04-16,3399.44,4185.47,1.573
2021-04-19,3372.01,4163.26,1.601
2021-04-20,3334.69,4134.94,1.562
2021-04-21,3362.02,4173.42,1.564
2021-04-22,3309.04,4134.98,1.554
2021-04-23,3340.88,4180.17,1.567
2021-04-26,3409.0,4187.62,1.57
2021-04-27,3417.43,4186.72,1.622
2021-04-28,3458.5,4183.18,1.62
2021-04-29,3471.31,4211.47,1.64
2021-04-30,3467.42,4181.17,1.631
2021-05-03,3386.49,4192.66,1.607
2021-05-04,3311.87,4164.66,1.592
2021-05-05,3270.54,4167.59,1.584
2021-05-06,3306.37,4201.62,1.561
2021-05-07,3291.61,4232.6,1.577
2021-05-10,3190.49,4188.43,1.602
2021-05-11,3223.91,4152.1,1.624
2021-05-12,3151.94,4063.04,1.695
2021-05-13,3161.47,4112.5,1.668
2021-05-14,3222.9,4173.85,1.635
2021-05-17,3270.39,4163.29,1.64
2021-05-18,3232.28,4127.83,1.642
2021-05-19,3231.8,4115.68,1.683
2021-05-20,3247.68,4159.12,1.634
2021-05-21,3203.08,4155.86,1.632
2021-05-24,3244.99,4197.05,1.608
2021-05-25,3259.05,4188.13,1.564
2021-05-26,3265.16,4195.99,1.574
2021-05-27,3230.11,4200.88,1.61
2021-05-28,3223.07,4204.11,1.581
2021-06-01,3218.65,4202.04,1.615
2021-06-02,3233.99,4208.12,1.591
2021-06-03,3187.01,4192.85,1.625
2021-06-04,3206.22,4229.89,1.56
2021-06-07,3198.01,4226.52,1.569
2021-06-08,3264.11,4227.26,1.528
2021-06-09,3281.15,4219.55,1.489
2021-06-10,3349.65,4239.18,1.459
2021-06-11,3346.83,4247.44,1.462
2021-06-14,3383.87,4255.15,1.501
2021-06-15,3383.13,4246.59,1.499
2021-06-16,3415.25,4223.7,1.569
2021-06-17,3489.24,4221.86,1.511
2021-06-18,3486.9,4166.45,1.45
2021-06-21,3453.96,4224.79,1.484
2021-06-22,3505.44,4246.44,1.472
2021-06-23,3503.82,4241.84,1.487
2021-06-24,3449.08,4266.49,1.487
2021-06-25,3401.46,4280.7,1.536
2021-06-28,3443.89,4290.61,1.478
2021-06-29,3448.14,4291.8,1.48
2021-06-30,3440.16,4297.5,1.443
2021-07-01,3432.97,4319.94,1.48
2021-07-02,3510.98,4352.34,1.431
2021-07-06,3675.74,4343.54,1.37
2021-07-07,3696.58,4358.13,1.321
2021-07-08,3731.41,4320.82,1.288
2021-07-09,3719.34,4369.55,1.356
2021-07-12,3718.55,4384.63,1.363
2021-07-13,3677.36,4369.21,1.415
2021-07-14,3681.68,4374.3,1.356
2021-07-15,3631.2,4360.03,1.297
2021-07-16,3573.63,4327.16,1.3
2021-07-19,3549.59,4258.49,1.181
2021-07-20,3573.19,4323.06,1.209
2021-07-21,3585.2,4358.69,1.28
2021-07-22,3638.03,4367.48,1.265
2021-07-23,3656.64,4411.79,1.286
2021-07-26,3699.82,4422.3,1.276
2021-07-27,3626.39,4401.46,1.234
2021-07-28,3630.32,4400.64,1.261
2021-07-29,3599.92,4419.15,1.269
2021-07-30,3327.59,4395.26,1.239
2021-08-02,3331.48,4387.16,1.174
2021-08-03,3366.24,4423.15,1.176
2021-08-04,3354.72,4402.66,1.184
2021-08-05,3375.99,4429.1,1.217
2021-08-06,3344.94,4436.52,1.29
2021-08-09,3341.87,4432.35,1.317
2021-08-10,3320.68,4436.75,1.342
2021-08-11,3292.11,4442.41,1.329
2021-08-12,3303.5,4460.83,1.367
2021-08-13,3293.97,4468.0,1.297
2021-08-16,3298.99,4479.71,1.257
2021-08-17,3241.96,4448.08,1.258
2021-08-18,3201.22,4400.27,1.273
2021-08-19,3187.75,4405.8,1.242
2021-08-20,3199.95,4441.67,1.26
2021-08-23,3265.87,4479.53,1.255
2021-08-24,3305.78,4486.23,1.29
2021-08-25,3299.18,4496.19,1.342
2021-08-26,3316.0,4470.0,1.342
2021-08-27,3349.63,4509.37,1.312
2021-08-30,3421.57,4528.79,1.285
2021-08-31,3470.79,4522.68,1.304
2021-09-01,3479.0,4524.09,1.302
2021-09-02,3463.12,4536.95,1.294
2021-09-03,3478.05,4535.43,1.322
2021-09-07,3509.29,4520.03,1.37
2021-09-08,3525.5,4514.07,1.334
2021-09-09,3484.16,4493.28,1.299
2021-09-10,3469.15,4458.58,1.341
2021-09-13,3457.17,4468.73,1.324
2021-09-14,3450.0,4443.05,1.277
2021-09-15,3475.79,4480.7,1.304
2021-09-16,3488.24,4473.75,1.331
2021-09-17,3462.52,4432.99,1.37
2021-09-20,3355.73,4357.73,1.309
2021-09-21,3343.63,4354.19,1.324
2021-09-22,3380.05,4395.64,1.336
2021-09-23,3416.0,4448.98,1.41
2021-09-24,3425.52,4455.48,1.46
2021-09-27,3405.8,4443.11,1.484
2021-09-28,3315.96,4352.63,1.534
2021-09-29,3301.12,4359.46,1.541
2021-09-30,3285.04,4307.54,1.529
2021-10-01,3283.26,4357.04,1.479
2021-10-04,3189.78,4300.46,1.481
2021-10-05,3221.0,4345.72,1.529
2021-10-06,3262.01,4363.55,1.524
2021-10-07,3302.43,4399.76,1.571
2021-10-08,3288.62,4391.34,1.605
2021-10-11,3246.3,4361.19,1.614
2021-10-12,3247.33,4350.65,1.58
2021-10-13,3284.28,4363.8,1.549
2021-10-14,3299.86,4438.26,1.519
2021-10-15,3409.02,4471.37,1.576
2021-10-18,3446.74,4486.46,1.584
2021-10-19,3444.15,4519.63,1.635
2021-10-20,3415.06,4536.19,1.636
2021-10-21,3435.01,4549.78,1.676
2021-10-22,3335.55,4544.9,1.655
2021-10-25,3320.37,4566.48,1.635
2021-10-26,3376.07,4574.79,1.619
2021-10-27,3392.49,4551.68,1.529
2021-10-28,3446.57,4596.42,1.568
2021-10-29,3372.43,4605.38,1.557
2021-11-01,3318.11,4613.67,1.575
2021-11-02,3312.75,4630.65,1.549
2021-11-03,3384.0,4660.57,1.579
2021-11-04,3477.0,4680.06,1.524
2021-11-05,3518.99,4697.53,1.453
2021-11-08,3488.98,4701.7,1.497
2021-11-09,3576.23,4685.25,1.432
2021-11-10,3482.05,4646.71,1.56
2021-11-11,3472.5,4649.27,1.56
2021-11-12,3525.15,4682.85,1.582
2021-11-15,3545.68,4682.8,1.623
2021-11-16,3540.7,4700.9,1.634
2021-11-17,3549.0,4688.67,1.604
2021-11-18,3696.06,4704.54,1.589
2021-11-19,3676.57,4697.96,1.536
2021-11-22,3572.57,4682.94,1.625
2021-11-23,3580.04,4690.7,1.667
2021-11-24,3580.41,4701.46,1.645
2021-11-26,3504.56,4594.62,1.482
2021-11-29,3561.57,4655.27,1.53
2021-11-30,3507.07,4567.0,1.443
2021-12-01,3443.72,4513.04,1.434
2021-12-02,3437.36,4577.1,1.448
2021-12-03,3389.79,4538.43,1.343
2021-12-06,3427.37,4591.67,1.434
2021-12-07,3523.29,4686.75,1.48
2021-12-08,3523.16,4701.21,1.509
2021-12-09,3483.42,4667.45,1.487
2021-12-10,3444.24,4712.02,1.489
2021-12-13,3391.35,4668.97,1.424
2021-12-14,3381.83,4634.09,1.438
2021-12-15,3466.3,4709.85,1.463
2021-12-16,3377.42,4668.67,1.422
2021-12-17,3400.35,4620.64,1.402
2021-12-20,3341.58,4568.02,1.419
2021-12-21,3408.34,4649.23,1.487
2021-12-22,3420.74,4696.56,1.457
2021-12-23,3421.37,4725.79,1.493
2021-12-27,3393.39,4791.19,1.481
2021-12-28,3413.22,4786.35,1.481
2021-12-29,3384.02,4793.06,1.543
2021-12-30,3372.89,4778.73,1.515
2021-12-31,3334.34,4766.18,1.512
2022-01-03,3408.09,4796.56,1.628
2022-01-04,3350.44,4793.54,1.668
2022-01-05,3287.14,4700.58,1.705
2022-01-06,3265.08,4696.05,1.733
2022-01-07,3251.08,4677.03,1.771
2022-01-10,3229.72,4670.29,1.78
2022-01-11,3307.24,4713.07,1.746
2022-01-12,3304.14,4726.35,1.725
2022-01-13,3224.28,4659.03,1.711
2022-01-14,3242.76,4662.85,1.772
2022-01-18,3178.35,4577.11,1.865
2022-01-19,3125.98,4532.76,1.827
2022-01-20,3033.35,4482.73,1.833
2022-01-21,2852.86,4397.94,1.747
2022-01-24,2890.88,4410.13,1.735
2022-01-25,2799.72,4356.45,1.783
2022-01-26,2777.45,4349.93,1.848
2022-01-27,2792.75,4326.51,1.807
2022-01-28,2879.56,4431.85,1.782
2022-01-31,2991.47,4515.55,1.782
2022-02-01,3023.87,4546.54,1.8
2022-02-02,3012.25,4589.38,1.766
2022-02-03,2776.91,4477.44,1.827
2022-02-04,3152.79,4500.53,1.93
2022-02-07,3158.71,4483.87,1.916
2022-02-08,3228.27,4521.54,1.954
2022-02-09,3223.79,4587.18,1.929
2022-02-10,3180.07,4504.08,2.031
2022-02-11,3065.87,4418.64,1.955
2022-02-14,3103.34,4401.67,1.996
2022-02-15,3130.21,4471.07,2.045
2022-02-16,3162.01,4475.01,2.047
2022-02-17,3093.05,4380.26,1.972
2022-02-18,3052.03,4348.87,1.932
2022-02-22,3003.95,4304.76,1.948
2022-02-23,2896.54,4225.5,1.977
2022-02-24,3027.16,4288.7,1.969
2022-02-25,3075.77,4384.65,1.986
2022-02-28,3071.26,4373.94,1.839
2022-03-01,3022.84,4306.26,1.707
2022-03-02,3041.05,4386.54,1.865
2022-03-03,2957.97,4363.49,1.844
2022-03-04,2912.82,4328.87,1.724
2022-03-07,2749.06,4201.09,1.751
2022-03-08,2720.29,4170.7,1.872
2022-03-09,2785.58,4277.88,1.948
2022-03-10,2936.35,4259.52,2.011
2022-03-11,2910.49,4204.31,2.004
2022-03-14,2837.06,4173.11,2.14
2022-03-15,2947.33,4262.45,2.16
2022-03-16,3062.08,4357.86,2.188
2022-03-17,3144.78,4411.67,2.192
2022-03-18,3225.01,4463.12,2.148
2022-03-21,3221.28,4468.44,2.237
